country,n_Lower,prop_Lower,n_Greater,prop_Greater
Algeria,   18.0,94.74,    1.0, 5.26
Australia,  415.0,73.45,  150.0,26.55
Austria,  587.0,85.82,   97.0,14.18
Bangladesh,  188.0,74.02,   66.0,25.98
Belgium,  477.0,81.68,  107.0,18.32
Bolivia,  217.0,66.77,  108.0,33.23
Brazil,"2,556.0",79.33,  666.0,20.67
Canada,"1,571.0",68.96,  707.0,31.04
Chile,  791.0,73.04,  292.0,26.96
China,"1,910.0",81.66,  429.0,18.34
Colombia,"1,302.0",76.27,  405.0,23.73
Croatia,"1,651.0",78.77,  445.0,21.23
Czech Republic,"1,382.0",91.04,  136.0, 8.96
Ecuador,  182.0,77.45,   53.0,22.55
France,"1,137.0",74.51,  389.0,25.49
Germany,"2,713.0",89.98,  302.0,10.02
Gibraltar,   35.0,79.55,    9.0,20.45
Hungary,"8,354.0",84.49,"1,533.0",15.51
India,  117.0,79.59,   30.0,20.41
Iraq,   61.0,73.49,   22.0,26.51
Ireland,"1,032.0",71.22,  417.0,28.78
Israel,  997.0,85.65,  167.0,14.35
Italy,"1,668.0",82.78,  347.0,17.22
Japan,  371.0,75.25,  122.0,24.75
Lithuania,"1,548.0",85.38,  265.0,14.62
Malaysia,  791.0,73.11,  291.0,26.89
Mexico,"1,367.0",73.73,  487.0,26.27
New Zealand,"1,806.0",71.55,  718.0,28.45
North Macedonia,  945.0,86.78,  144.0,13.22
Other,  739.0,74.87,  248.0,25.13
Panama,  221.0,78.37,   61.0,21.63
Peru,"1,827.0",78.72,  494.0,21.28
Poland,"6,407.0",77.84,"1,824.0",22.16
Portugal,"1,569.0",78.57,  428.0,21.43
Slovakia,  744.0,76.94,  223.0,23.06
South Africa,"1,157.0",70.38,  487.0,29.62
South Korea,"1,092.0",82.85,  226.0,17.15
Spain,"1,634.0",78.14,  457.0,21.86
Switzerland,  829.0,77.62,  239.0,22.38
Taiwan,"2,245.0",86.21,  359.0,13.79
Turkey,  507.0,75.22,  167.0,24.78
United Kingdom,  896.0,71.97,  349.0,28.03
United States of America,"1,370.0",65.11,  734.0,34.89
