contrast,t,p,difference
Australia - Austria,  8.51,< .001, 2.01
Australia - Brazil,  1.40,0.183, 0.27
Australia - Canada, -0.36,0.743,-0.07
Australia - Chile,  3.05,0.003, 0.66
Australia - China,  8.17,< .001, 1.60
Australia - Colombia,  5.40,< .001, 1.09
Australia - Croatia,  7.59,< .001, 1.50
Australia - Czech Republic,  5.68,< .001, 1.16
Australia - France,  2.38,0.022, 0.49
Australia - Germany,  9.24,< .001, 1.76
Australia - Hungary,  8.86,< .001, 1.59
Australia - Ireland,  1.07,0.312, 0.22
Australia - Israel,  9.72,< .001, 2.07
Australia - Italy, 11.88,< .001, 2.36
Australia - Lithuania,  9.07,< .001, 1.81
Australia - Malaysia,  3.63,< .001, 0.78
Australia - Mexico,  3.31,0.001, 0.66
Australia - New Zealand, -0.46,0.669,-0.09
Australia - North Macedonia, 12.26,< .001, 2.65
Australia - Peru,  5.09,< .001, 0.99
Australia - Poland,  8.41,< .001, 1.53
Australia - Portugal,  4.88,< .001, 0.97
Australia - Slovakia,  4.60,< .001, 1.01
Australia - South Africa,  2.14,0.039, 0.43
Australia - South Korea, 15.26,< .001, 3.20
Australia - Spain,  8.14,< .001, 1.61
Australia - Switzerland,  5.84,< .001, 1.27
Australia - Taiwan, 10.88,< .001, 2.10
Australia - Turkey,  3.80,< .001, 0.90
Australia - United Kingdom,  1.83,0.079, 0.39
Australia - United States of America, -0.67,0.532,-0.13
Austria - Brazil, -9.95,< .001,-1.75
Austria - Canada,-11.49,< .001,-2.08
Austria - Chile, -6.67,< .001,-1.35
Austria - China, -2.30,0.027,-0.42
Austria - Colombia, -4.87,< .001,-0.92
Austria - Croatia, -2.80,0.007,-0.51
Austria - Czech Republic, -4.41,< .001,-0.85
Austria - France, -7.98,< .001,-1.53
Austria - Germany, -1.44,0.173,-0.25
Austria - Hungary, -2.55,0.014,-0.42
Austria - Ireland, -9.30,< .001,-1.79
Austria - Israel,  0.29,0.783, 0.06
Austria - Italy,  1.89,0.070, 0.35
Austria - Lithuania, -1.05,0.320,-0.20
Austria - Malaysia, -6.04,< .001,-1.23
Austria - Mexico, -7.26,< .001,-1.35
Austria - New Zealand,-11.73,< .001,-2.10
Austria - North Macedonia,  3.13,0.002, 0.63
Austria - Peru, -5.64,< .001,-1.02
Austria - Poland, -2.91,0.005,-0.48
Austria - Portugal, -5.66,< .001,-1.04
Austria - Slovakia, -4.80,< .001,-1.00
Austria - South Africa, -8.35,< .001,-1.58
Austria - South Korea,  6.08,< .001, 1.19
Austria - Spain, -2.17,0.037,-0.40
Austria - Switzerland, -3.67,< .001,-0.75
Austria - Taiwan,  0.50,0.645, 0.09
Austria - Turkey, -4.92,< .001,-1.11
Austria - United Kingdom, -8.23,< .001,-1.63
Austria - United States of America,-11.72,< .001,-2.14
Brazil - Canada, -2.94,0.004,-0.34
Brazil - Chile,  2.67,0.010, 0.39
Brazil - China, 11.61,< .001, 1.33
Brazil - Colombia,  6.55,< .001, 0.83
Brazil - Croatia, 10.41,< .001, 1.23
Brazil - Czech Republic,  6.93,< .001, 0.90
Brazil - France,  1.70,0.103, 0.22
Brazil - Germany, 14.17,< .001, 1.49
Brazil - Hungary, 15.68,< .001, 1.33
Brazil - Ireland, -0.34,0.755,-0.04
Brazil - Israel, 12.67,< .001, 1.80
Brazil - Italy, 17.42,< .001, 2.09
Brazil - Lithuania, 12.63,< .001, 1.55
Brazil - Malaysia,  3.52,< .001, 0.52
Brazil - Mexico,  3.24,0.002, 0.40
Brazil - New Zealand, -3.20,0.002,-0.35
Brazil - North Macedonia, 16.23,< .001, 2.38
Brazil - Peru,  6.38,< .001, 0.73
Brazil - Poland, 14.03,< .001, 1.26
Brazil - Portugal,  5.86,< .001, 0.70
Brazil - Slovakia,  4.87,< .001, 0.75
