contrast,t,p,p_adj,difference,d
Australia - Austria,  4.64,< .001,< .001, 1.24, 0.27
Australia - Brazil,  2.39,0.02,0.02, 0.56, 0.11
Australia - Canada, -3.26,< .001,< .001,-0.79,-0.16
Australia - Chile, -2.57,0.01,0.01,-0.65,-0.14
Australia - China,  1.10,0.27,0.31, 0.26, 0.06
Australia - Colombia, -1.65,0.10,0.12,-0.40,-0.09
Australia - Croatia,  1.33,0.18,0.22, 0.32, 0.07
Australia - Czech Republic,  8.22,< .001,< .001, 1.98, 0.43
Australia - France, -1.34,0.18,0.21,-0.33,-0.07
Australia - Germany,  8.58,< .001,< .001, 1.97, 0.43
Australia - Hungary,  5.39,< .001,< .001, 1.20, 0.25
Australia - Ireland, -2.01,0.04,0.06,-0.51,-0.10
Australia - Israel,  6.98,< .001,< .001, 1.79, 0.37
Australia - Italy,  4.33,< .001,< .001, 1.04, 0.22
Australia - Lithuania,  4.94,< .001,< .001, 1.18, 0.25
Australia - Malaysia, -2.70,0.01,0.01,-0.68,-0.14
Australia - Mexico, -1.16,0.25,0.28,-0.28,-0.06
Australia - New Zealand, -2.26,0.02,0.03,-0.54,-0.11
Australia - North Macedonia,  6.17,< .001,< .001, 1.57, 0.33
Australia - Peru,  0.57,0.57,0.60, 0.14, 0.03
Australia - Poland,  0.59,0.55,0.59, 0.13, 0.03
Australia - Portugal, -0.15,0.88,0.89,-0.04,-0.01
Australia - Slovakia, -0.96,0.34,0.38,-0.24,-0.05
Australia - South Africa, -2.60,0.01,0.01,-0.64,-0.13
Australia - South Korea,  6.49,< .001,< .001, 1.68, 0.33
Australia - Spain, -0.16,0.88,0.89,-0.04,-0.01
Australia - Switzerland,  0.36,0.72,0.75, 0.09, 0.02
Australia - Taiwan,  4.95,< .001,< .001, 1.15, 0.25
Australia - Turkey, -0.90,0.37,0.41,-0.25,-0.05
Australia - United Kingdom, -1.23,0.22,0.26,-0.32,-0.06
Australia - United States of America, -4.87,< .001,< .001,-1.19,-0.23
Austria - Brazil, -3.94,< .001,< .001,-0.68,-0.16
Austria - Canada,-10.99,< .001,< .001,-2.03,-0.45
Austria - Chile, -9.55,< .001,< .001,-1.89,-0.47
Austria - China, -5.64,< .001,< .001,-0.98,-0.25
Austria - Colombia, -8.99,< .001,< .001,-1.64,-0.41
Austria - Croatia, -5.13,< .001,< .001,-0.92,-0.22
Austria - Czech Republic,  4.02,< .001,< .001, 0.74, 0.19
Austria - France, -8.18,< .001,< .001,-1.57,-0.37
Austria - Germany,  4.33,< .001,< .001, 0.73, 0.19
Austria - Hungary, -0.25,0.80,0.82,-0.04,-0.01
Austria - Ireland, -8.86,< .001,< .001,-1.75,-0.40
Austria - Israel,  2.70,0.01,0.01, 0.55, 0.13
Austria - Italy, -1.11,0.27,0.30,-0.20,-0.05
Austria - Lithuania, -0.32,0.75,0.78,-0.06,-0.01
