var,x,n,perc
country,Algeria,    19, 0.03
country,Australia,   565, 0.78
country,Austria,   684, 0.94
country,Bangladesh,   254, 0.35
country,Belgium,   584, 0.80
country,Bolivia,   325, 0.45
country,Brazil," 3,222", 4.44
country,Canada," 2,278", 3.14
country,Chile," 1,083", 1.49
country,China," 2,339", 3.22
country,Colombia," 1,707", 2.35
country,Croatia," 2,096", 2.89
country,Czech Republic," 1,518", 2.09
country,Ecuador,   235, 0.32
country,France," 1,526", 2.10
country,Germany," 3,015", 4.15
country,Gibraltar,    44, 0.06
country,Hungary," 9,887",13.61
country,India,   147, 0.20
country,Iraq,    83, 0.11
country,Ireland," 1,449", 2.00
country,Israel," 1,164", 1.60
country,Italy," 2,015", 2.77
country,Japan,   493, 0.68
country,Lithuania," 1,813", 2.50
country,Malaysia," 1,082", 1.49
country,Mexico," 1,854", 2.55
country,New Zealand," 2,524", 3.48
country,North Macedonia," 1,089", 1.50
country,Other,   987, 1.36
country,Panama,   282, 0.39
country,Peru," 2,321", 3.20
country,Poland," 8,231",11.33
country,Portugal," 1,997", 2.75
country,Slovakia,   967, 1.33
country,South Africa," 1,644", 2.26
country,South Korea," 1,318", 1.81
country,Spain," 2,091", 2.88
country,Switzerland," 1,068", 1.47
country,Taiwan," 2,604", 3.59
country,Turkey,   674, 0.93
country,United Kingdom," 1,245", 1.71
country,United States of America," 2,104", 2.90
language,Arabic,   120, 0.17
language,Bangla,   227, 0.31
language,Croatian," 2,211", 3.04
language,Czech," 1,472", 2.03
language,Dutch,   467, 0.64
language,English,"12,258",16.88
language,French," 3,587", 4.94
language,German," 3,238", 4.46
language,Hebrew," 1,145", 1.58
language,Hindi,    12, 0.02
language,Hungarian," 9,681",13.33
language,Italian," 2,043", 2.81
language,Japanese,   406, 0.56
language,Korean," 1,293", 1.78
language,Lithuanian," 1,888", 2.60
language,Macedonian," 1,134", 1.56
language,Mandarin - Simplified," 2,385", 3.28
language,Mandarin - Traditional," 2,618", 3.60
language,Polish," 8,623",11.87
language,Portuguese - Brazil," 3,289", 4.53
language,Portuguese - Portugal," 2,002", 2.76
language,Romanian,    64, 0.09
language,Slovakian," 1,835", 2.53
language,Spanish - Latin America," 7,844",10.80
language,Spanish - Spain," 2,079", 2.86
language,Turkish,   706, 0.97
sex_birth,Male,"29,477",40.59
sex_birth,Female,"43,150",59.41
gender,Woman,"41,360",56.95
gender,Man,"28,877",39.76
gender,Gender diverse individual," 2,390", 3.29
Age,18," 1,876", 2.58
Age,19," 2,761", 3.80
Age,20," 3,671", 5.05
Age,21," 4,057", 5.59
Age,22," 3,952", 5.44
Age,23," 3,752", 5.17
Age,24," 3,396", 4.68
Age,25," 3,312", 4.56
Age,26," 2,825", 3.89
Age,27," 2,693", 3.71
Age,28," 2,707", 3.73
Age,29," 2,220", 3.06
Age,30," 2,401", 3.31
Age,31," 1,932", 2.66
Age,32," 2,003", 2.76
Age,33," 1,796", 2.47
Age,34," 1,607", 2.21
Age,35," 1,685", 2.32
Age,36," 1,449", 2.00
Age,37," 1,329", 1.83
Age,38," 1,395", 1.92
Age,39," 1,205", 1.66
Age,40," 1,333", 1.84
Age,41," 1,129", 1.55
