country,variable,n,mean,sd,min,max,ci,lower.CL,upper.CL
Australia,ASRS_score,564,10.36,5.199,0,24,0.43,9.93,10.79
Austria,ASRS_score,682,9.119,4.017,0,24,0.302,8.817,9.421
Brazil,ASRS_score,3222,9.803,4.578,0,24,0.158,9.645000000000001,9.961
Canada,ASRS_score,2275,11.148,4.879,0,24,0.201,10.947,11.349
Chile,ASRS_score,1083,11.007,4.09,0,23,0.244,10.763,11.251
China,ASRS_score,2339,10.103,3.978,0,24,0.161,9.942,10.264
Colombia,ASRS_score,1707,10.756,4.028,0,24,0.191,10.565,10.947000000000001
Croatia,ASRS_score,2096,10.043,4.29,0,24,0.184,9.859,10.226999999999999
Czech Republic,ASRS_score,1518,8.381,3.909,0,22,0.197,8.184000000000001,8.578
France,ASRS_score,1525,10.692,4.507,0,24,0.226,10.466,10.918000000000001
Germany,ASRS_score,3009,8.388,3.848,0,22,0.138,8.25,8.526
Hungary,ASRS_score,9885,9.159,4.207,0,24,0.083,9.076,9.242
Ireland,ASRS_score,1448,10.866,4.701,0,24,0.242,10.623999999999999,11.108
Israel,ASRS_score,1159,8.567,4.566,0,24,0.263,8.304,8.83
Italy,ASRS_score,2013,9.321,4.372,0,24,0.191,9.129999999999999,9.512
Lithuania,ASRS_score,1813,9.178,4.127,0,24,0.19,8.988000000000001,9.368
Malaysia,ASRS_score,1081,11.043,4.204,0,24,0.251,10.792,11.293999999999999
Mexico,ASRS_score,1854,10.64,4.506,0,24,0.205,10.435,10.845
New Zealand,ASRS_score,2522,10.898,4.737,0,24,0.185,10.713,11.083
North Macedonia,ASRS_score,1089,8.789,4.285,0,23,0.255,8.533999999999999,9.044
Peru,ASRS_score,2321,10.225,4.133,0,24,0.168,10.057,10.392999999999999
Poland,ASRS_score,8230,10.227,4.287,0,24,0.093,10.134,10.32
Portugal,ASRS_score,1997,10.397,4.084,0,24,0.179,10.218,10.576
Slovakia,ASRS_score,966,10.602,3.977,1,24,0.251,10.351,10.853
South Africa,ASRS_score,1644,11.004,4.69,0,24,0.227,10.777,11.231
South Korea,ASRS_score,1317,8.684,4.96,0,24,0.268,8.415999999999999,8.952
Spain,ASRS_score,2091,10.397,3.993,0,24,0.171,10.226,10.568
Switzerland,ASRS_score,1066,10.266,4.419,0,24,0.266,10,10.532
Taiwan,ASRS_score,2604,9.21,3.96,0,24,0.152,9.058000000000002,9.362
Turkey,ASRS_score,673,10.612,4.555,0,24,0.345,10.267,10.957
United Kingdom,ASRS_score,1243,10.677,4.84,0,24,0.269,10.408,10.946
United States of America,ASRS_score,2103,11.553,5.036,0,24,0.215,11.338000000000001,11.768
